# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.93
1                       1.93
2                       1.93
4                       1.94
8                       1.94
16                      1.95
32                      2.16
64                      2.35
128                     2.37
256                     3.06
512                     3.08
1024                    3.62
2048                    3.77
4096                    4.49
8192                    4.88
16384                   5.94
32768                   8.56
65536                  11.99
131072                 19.53
262144                 27.79
524288                 49.12
1048576                92.19
2097152               177.18
4194304               347.10
