# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.86
2                       3.73
4                       7.47
8                      14.93
16                     29.86
32                     59.77
64                    117.61
128                   234.25
256                   445.41
512                   876.10
1024                 1716.98
2048                 3733.03
4096                 5636.48
8192                 8734.76
16384                9202.84
32768                9679.73
65536               11938.73
131072              12138.49
262144              12240.38
524288              12210.68
1048576             12319.55
2097152             12331.69
4194304             12338.32
