# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.87
1                       1.87
2                       1.87
4                       1.88
8                       1.88
16                      1.88
32                      2.07
64                      2.36
128                     2.39
256                     3.13
512                     3.15
1024                    3.68
2048                    3.88
4096                    4.68
8192                    5.25
16384                   6.26
32768                   8.52
65536                  11.87
131072                 19.30
262144                 28.96
524288                 50.15
1048576                93.01
2097152               178.04
4194304               347.64
