# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.43
2                       4.87
4                       9.72
8                      19.47
16                     38.99
32                     77.69
64                    149.53
128                   299.54
256                   566.46
512                  1121.59
1024                 2132.33
2048                 4331.98
4096                 6335.77
8192                 8891.47
16384                9221.74
32768                9661.28
65536               11999.56
131072              12171.83
262144              12257.73
524288              12301.27
1048576             12323.39
2097152             12333.73
4194304             12339.60
