# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.93
2                       3.87
4                       7.74
8                      15.45
16                     30.93
32                     61.61
64                    121.48
128                   242.81
256                   459.57
512                   904.92
1024                 1674.32
2048                 4159.97
4096                 5810.02
8192                 8699.26
16384                9373.83
32768                9771.57
65536               12014.33
131072              12163.09
262144              12249.89
524288              12297.93
1048576             12321.76
2097152             12333.33
4194304             12339.53
