# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.92
1                       1.91
2                       1.92
4                       1.92
8                       1.92
16                      1.93
32                      2.14
64                      2.32
128                     2.34
256                     3.01
512                     3.10
1024                    3.59
2048                    3.74
4096                    4.43
8192                    4.79
16384                   5.84
32768                   8.46
65536                  11.98
131072                 19.34
262144                 29.15
524288                 50.69
1048576                93.20
2097152               178.45
4194304               348.51
