# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.86
4                       9.72
8                      19.46
16                     38.85
32                     77.57
64                    149.37
128                   298.22
256                   570.02
512                  1120.94
1024                 2176.93
2048                 4337.26
4096                 6281.41
8192                 8881.14
16384                9250.61
32768                9734.80
65536               11994.10
131072              12144.10
262144              12240.02
524288              12293.09
1048576             12318.85
2097152             12332.14
4194304             12339.08
