# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.46
1                       2.45
2                       2.45
4                       2.46
8                       2.46
16                      2.47
32                      2.67
64                      2.88
128                     2.90
256                     3.57
512                     3.72
1024                    4.16
2048                    4.24
4096                    5.25
8192                    5.64
16384                   6.62
32768                   9.23
65536                  12.59
131072                 19.92
262144                 30.11
524288                 51.68
1048576                94.48
2097152               179.68
4194304               349.48
