# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.68
4                       9.36
8                      18.71
16                     37.33
32                     74.69
64                    144.15
128                   287.18
256                   547.51
512                  1081.28
1024                 2085.45
2048                 4195.56
4096                 6135.72
8192                 8752.97
16384                9170.48
32768                9627.60
65536               11914.15
131072              12107.76
262144              12224.14
524288              12283.25
1048576             12314.00
2097152             12330.03
4194304             12337.72
