# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.28
2                       4.58
4                       9.17
8                      18.34
16                     36.61
32                     73.26
64                    159.95
128                   318.90
256                   546.03
512                  1082.88
1024                 2073.35
2048                 4156.21
4096                 6054.40
8192                 8722.66
16384                9034.06
32768                9611.74
65536               11919.82
131072              12130.95
262144              12234.66
524288              12290.37
1048576             12317.77
2097152             12331.21
4194304             12338.07
