# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.86
4                       9.73
8                      19.44
16                     38.89
32                     77.39
64                    150.35
128                   298.81
256                   565.03
512                  1120.35
1024                 2121.74
2048                 4338.45
4096                 6265.31
8192                 8847.15
16384                9130.79
32768                9632.23
65536               11992.63
131072              12136.89
262144              12240.32
524288              12291.77
1048576             12319.16
2097152             12332.43
4194304             12339.22
