# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.67
4                       9.33
8                      18.69
16                     37.31
32                     74.24
64                    144.24
128                   286.78
256                   548.47
512                  1081.42
1024                 2118.59
2048                 4156.95
4096                 6063.32
8192                 8676.32
16384                9117.68
32768                9583.74
65536               11917.86
131072              12131.91
262144              12235.52
524288              12290.87
1048576             12317.89
2097152             12331.23
4194304             12337.89
