# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.88
1                       1.88
2                       1.88
4                       1.88
8                       1.89
16                      1.89
32                      2.07
64                      2.35
128                     2.37
256                     3.09
512                     3.18
1024                    3.68
2048                    3.87
4096                    4.68
8192                    5.22
16384                   6.22
32768                   8.50
65536                  11.91
131072                 19.18
262144                 28.18
524288                 49.35
1048576                92.16
2097152               177.33
4194304               347.10
