# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.88
1                       1.87
2                       1.88
4                       1.88
8                       1.88
16                      1.88
32                      2.08
64                      2.35
128                     2.39
256                     3.11
512                     3.16
1024                    3.68
2048                    3.88
4096                    4.66
8192                    5.25
16384                   6.22
32768                   8.51
65536                  11.84
131072                 19.21
262144                 28.21
524288                 49.39
1048576                92.21
2097152               177.40
4194304               347.11
