# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.74
4                       7.49
8                      14.99
16                     30.01
32                     59.79
64                    117.84
128                   234.54
256                   443.84
512                   875.40
1024                 1723.27
2048                 3756.09
4096                 5849.32
8192                 8937.75
16384                9299.15
32768                9853.86
65536               11938.34
131072              12137.40
262144              12241.33
524288              12212.34
1048576             12319.47
2097152             12331.89
4194304             12338.36
