# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.88
1                       1.88
2                       1.88
4                       1.88
8                       1.88
16                      1.89
32                      2.08
64                      2.36
128                     2.39
256                     3.10
512                     3.13
1024                    3.67
2048                    3.89
4096                    4.70
8192                    5.27
16384                   6.25
32768                   8.55
65536                  12.04
131072                 19.35
262144                 29.53
524288                 50.77
1048576                93.02
2097152               178.26
4194304               347.94
