# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.83
4                       9.70
8                      19.43
16                     38.78
32                     77.22
64                    149.80
128                   297.27
256                   565.93
512                  1118.52
1024                 2139.92
2048                 4319.57
4096                 6189.20
8192                 8860.54
16384                9218.71
32768                9616.95
65536               11994.08
131072              12140.59
262144              12240.50
524288              12292.90
1048576             12318.48
2097152             12332.19
4194304             12339.03
