# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.79
1                       1.79
2                       1.79
4                       1.79
8                       1.80
16                      1.80
32                      1.96
64                      2.33
128                     2.34
256                     3.13
512                     3.17
1024                    3.75
2048                    3.95
4096                    4.87
8192                    5.64
16384                   6.61
32768                   8.41
65536                  11.65
131072                 18.55
262144                 29.45
524288                 50.47
1048576                93.01
2097152               178.00
4194304               347.71
