# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.44
1                       2.43
2                       2.43
4                       2.44
8                       2.44
16                      2.45
32                      2.66
64                      2.99
128                     3.04
256                     3.72
512                     3.86
1024                    4.38
2048                    4.57
4096                    5.68
8192                    6.83
16384                   8.14
32768                  11.11
65536                  14.77
131072                 24.16
262144                 29.38
524288                 50.86
1048576                93.94
2097152               179.06
4194304               348.95
