# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.43
2                       4.87
4                       9.71
8                      19.43
16                     38.96
32                     77.48
64                    149.89
128                   295.95
256                   565.30
512                  1118.49
1024                 2113.84
2048                 4336.77
4096                 6202.52
8192                 8778.71
16384                9126.38
32768                9623.45
65536               11999.42
131072              12170.49
262144              12256.73
524288              12300.01
1048576             12323.07
2097152             12333.73
4194304             12339.61
