# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.85
4                       9.66
8                      19.35
16                     38.78
32                     77.25
64                    149.39
128                   297.68
256                   567.07
512                  1120.04
1024                 2128.17
2048                 4295.24
4096                 6208.94
8192                 8878.17
16384                9168.20
32768                9717.67
65536               12005.74
131072              12170.33
262144              12255.83
524288              12300.17
1048576             12323.08
2097152             12333.77
4194304             12339.66
