# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.40
1                       2.40
2                       2.41
4                       2.41
8                       2.41
16                      2.42
32                      2.61
64                      2.91
128                     2.95
256                     3.67
512                     3.75
1024                    4.23
2048                    4.44
4096                    5.47
8192                    6.25
16384                   7.14
32768                   9.28
65536                  12.65
131072                 20.05
262144                 30.01
524288                 51.13
1048576                94.02
2097152               179.14
4194304               348.80
