# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.28
2                       4.59
4                       9.18
8                      18.36
16                     36.64
32                     73.25
64                    158.13
128                   319.12
256                   542.27
512                  1084.20
1024                 2095.40
2048                 4196.25
4096                 6079.04
8192                 8814.17
16384                9194.80
32768                9726.06
65536               11925.58
131072              12132.99
262144              12237.11
524288              12290.06
1048576             12317.64
2097152             12331.27
4194304             12338.08
