# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.47
1                       2.47
2                       2.47
4                       2.48
8                       2.48
16                      2.48
32                      2.71
64                      2.91
128                     2.93
256                     3.60
512                     3.62
1024                    4.16
2048                    4.29
4096                    5.26
8192                    5.77
16384                   6.77
32768                   9.32
65536                  12.79
131072                 20.20
262144                 31.13
524288                 52.56
1048576                95.17
2097152               180.24
4194304               350.04
