# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.95
1                       1.94
2                       1.94
4                       1.95
8                       1.95
16                      1.95
32                      2.17
64                      2.36
128                     2.39
256                     3.08
512                     3.09
1024                    3.64
2048                    3.78
4096                    4.49
8192                    4.87
16384                   5.95
32768                   8.55
65536                  11.96
131072                 19.41
262144                 28.53
524288                 49.96
1048576                93.02
2097152               177.88
4194304               347.82
