# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.94
1                       1.94
2                       1.94
4                       1.94
8                       1.94
16                      1.95
32                      2.18
64                      2.35
128                     2.36
256                     3.03
512                     3.12
1024                    3.62
2048                    3.73
4096                    4.46
8192                    4.80
16384                   5.88
32768                   8.54
65536                  12.04
131072                 19.49
262144                 28.56
524288                 49.95
1048576                92.98
2097152               177.80
4194304               347.78
