# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.43
2                       4.87
4                       9.73
8                      19.41
16                     38.88
32                     77.62
64                    149.79
128                   297.63
256                   568.01
512                  1122.67
1024                 2187.66
2048                 4333.62
4096                 6205.93
8192                 8791.11
16384                9134.00
32768                9584.09
65536               11998.00
131072              12142.07
262144              12241.48
524288              12293.88
1048576             12319.45
2097152             12332.47
4194304             12339.20
