# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.93
2                       3.87
4                       7.73
8                      15.47
16                     30.88
32                     61.52
64                    121.54
128                   242.50
256                   459.77
512                   903.35
1024                 1764.79
2048                 3769.21
4096                 5744.27
8192                 9010.41
16384                9403.77
32768                9875.08
65536               12015.70
131072              12179.74
262144              12260.34
524288              12223.23
1048576             12324.79
2097152             12334.08
4194304             12339.88
