# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.38
2                       4.76
4                       9.51
8                      19.04
16                     37.93
32                     76.14
64                    165.28
128                   330.21
256                   565.47
512                  1122.82
1024                 2117.12
2048                 4303.14
4096                 6155.54
8192                 8804.79
16384                9116.02
32768                9598.02
65536               12001.53
131072              12170.87
262144              12257.19
524288              12301.01
1048576             12323.62
2097152             12333.52
4194304             12339.68
