# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.86
2                       3.73
4                       7.45
8                      14.88
16                     29.80
32                     59.33
64                    117.24
128                   232.50
256                   441.26
512                   873.92
1024                 1696.49
2048                 3744.85
4096                 5804.75
8192                 8727.28
16384                9174.61
32768                9591.15
65536               11939.50
131072              12122.96
262144              12229.27
524288              12207.90
1048576             12316.79
2097152             12330.18
4194304             12338.14
