# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.29
2                       4.57
4                       9.14
8                      18.21
16                     36.40
32                     73.17
64                    158.60
128                   313.31
256                   542.58
512                  1081.22
1024                 2074.67
2048                 4184.43
4096                 6055.77
8192                 8644.97
16384                9075.81
32768                9597.66
65536               11926.05
131072              12131.26
262144              12238.00
524288              12290.43
1048576             12318.51
2097152             12331.16
4194304             12338.00
