# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.43
2                       4.86
4                       9.74
8                      19.43
16                     38.85
32                     77.49
64                    149.97
128                   297.06
256                   565.91
512                  1116.64
1024                 2132.35
2048                 4344.28
4096                 6239.76
8192                 8794.09
16384                9116.44
32768                9615.34
65536               11996.79
131072              12143.86
262144              12241.75
524288              12293.08
1048576             12319.86
2097152             12332.07
4194304             12339.24
