# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.85
4                       9.67
8                      19.43
16                     38.83
32                     77.38
64                    150.01
128                   298.68
256                   567.42
512                  1118.70
1024                 2196.81
2048                 4282.80
4096                 6289.56
8192                 9074.21
16384                9449.14
32768                9953.84
65536               11998.06
131072              12173.20
262144              12257.46
524288              12301.13
1048576             12323.57
2097152             12333.98
4194304             12339.77
