# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.40
1                       2.40
2                       2.40
4                       2.42
8                       2.41
16                      2.41
32                      2.61
64                      2.89
128                     2.92
256                     3.64
512                     3.71
1024                    4.24
2048                    4.40
4096                    5.45
8192                    6.05
16384                   7.09
32768                   9.14
65536                  12.47
131072                 19.60
262144                 30.61
524288                 51.65
1048576                94.26
2097152               179.41
4194304               349.17
