# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.95
1                       1.95
2                       1.94
4                       1.95
8                       1.95
16                      1.96
32                      2.18
64                      2.36
128                     2.39
256                     3.08
512                     3.10
1024                    3.64
2048                    3.78
4096                    4.49
8192                    4.88
16384                   5.95
32768                   8.59
65536                  12.03
131072                 19.52
262144                 28.61
524288                 50.03
1048576                93.02
2097152               177.94
4194304               347.62
