# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.89
1                       1.89
2                       1.89
4                       1.89
8                       1.89
16                      1.90
32                      2.09
64                      2.37
128                     2.41
256                     2.91
512                     3.36
1024                    3.67
2048                    3.91
4096                    4.69
8192                    5.28
16384                   6.25
32768                   8.56
65536                  11.97
131072                 19.29
262144                 29.53
524288                 50.74
1048576                93.04
2097152               178.30
4194304               348.20
