# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.81
1                       1.82
2                       1.82
4                       1.82
8                       1.82
16                      1.83
32                      1.99
64                      2.34
128                     2.37
256                     3.14
512                     3.18
1024                    3.74
2048                    3.98
4096                    4.91
8192                    5.69
16384                   6.66
32768                   8.44
65536                  11.74
131072                 18.81
262144                 28.80
524288                 49.94
1048576                92.48
2097152               177.75
4194304               347.45
