# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.41
1                       2.41
2                       2.41
4                       2.42
8                       2.42
16                      2.43
32                      2.62
64                      2.90
128                     2.92
256                     3.64
512                     3.75
1024                    4.24
2048                    4.43
4096                    5.50
8192                    6.12
16384                   7.10
32768                   9.22
65536                  12.68
131072                 19.93
262144                 31.19
524288                 52.49
1048576                94.96
2097152               180.22
4194304               349.74
