# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.86
4                       9.70
8                      19.43
16                     38.88
32                     77.36
64                    149.91
128                   297.55
256                   568.95
512                  1122.34
1024                 2125.26
2048                 4310.51
4096                 6260.29
8192                 8882.19
16384                9249.70
32768                9695.97
65536               11990.03
131072              12142.52
262144              12242.17
524288              12294.09
1048576             12320.20
2097152             12332.37
4194304             12339.04
