# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.94
2                       3.89
4                       7.77
8                      15.54
16                     31.08
32                     61.84
64                    121.57
128                   241.64
256                   459.81
512                   903.91
1024                 1684.05
2048                 3879.34
4096                 5811.99
8192                 8760.90
16384                9441.56
32768                9930.82
65536               12032.20
131072              12173.55
262144              12251.04
524288              12299.29
1048576             12322.73
2097152             12333.88
4194304             12339.89
