# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.41
1                       2.41
2                       2.41
4                       2.42
8                       2.42
16                      2.42
32                      2.62
64                      2.90
128                     2.92
256                     3.65
512                     3.73
1024                    4.24
2048                    4.41
4096                    5.48
8192                    6.08
16384                   7.05
32768                   9.20
65536                  12.56
131072                 19.71
262144                 31.24
524288                 52.48
1048576                94.90
2097152               180.15
4194304               349.81
