# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.93
1                       1.94
2                       1.94
4                       1.94
8                       1.94
16                      1.95
32                      2.17
64                      2.34
128                     2.36
256                     3.03
512                     3.15
1024                    3.60
2048                    3.72
4096                    4.45
8192                    4.80
16384                   5.82
32768                   8.47
65536                  11.94
131072                 19.30
262144                 28.48
524288                 49.89
1048576                93.01
2097152               177.95
4194304               347.93
