# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.40
2                       4.83
4                       9.68
8                      19.32
16                     38.62
32                     77.11
64                    150.30
128                   327.45
256                   563.24
512                  1115.61
1024                 2116.08
2048                 4390.59
4096                 6262.68
8192                 8869.85
16384                9196.57
32768                9634.06
65536               11995.28
131072              12137.60
262144              12243.11
524288              12293.63
1048576             12320.06
2097152             12332.66
4194304             12339.29
