# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.43
2                       4.85
4                       9.70
8                      19.38
16                     38.71
32                     77.42
64                    150.07
128                   297.27
256                   562.02
512                  1116.94
1024                 2178.35
2048                 4348.23
4096                 6308.48
8192                 8892.57
16384                9279.11
32768                9696.71
65536               12002.40
131072              12173.27
262144              12257.58
524288              12300.83
1048576             12323.31
2097152             12333.68
4194304             12339.70
