# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.87
1                       1.87
2                       1.87
4                       1.87
8                       1.87
16                      1.88
32                      2.07
64                      2.35
128                     2.39
256                     3.13
512                     3.15
1024                    3.68
2048                    3.90
4096                    4.66
8192                    5.26
16384                   6.23
32768                   8.51
65536                  11.83
131072                 19.15
262144                 28.96
524288                 50.25
1048576                93.02
2097152               177.91
4194304               347.60
