# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.28
2                       4.56
4                       9.09
8                      18.25
16                     36.41
32                     72.85
64                    160.01
128                   319.40
256                   545.45
512                  1083.09
1024                 2048.02
2048                 4146.11
4096                 6094.36
8192                 8701.14
16384                9156.82
32768                9602.57
65536               11927.53
131072              12132.21
262144              12237.74
524288              12290.70
1048576             12318.19
2097152             12331.20
4194304             12337.87
