# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.67
4                       9.37
8                      18.70
16                     37.37
32                     74.69
64                    143.64
128                   286.72
256                   548.93
512                  1083.70
1024                 2086.18
2048                 4230.74
4096                 6151.12
8192                 8772.42
16384                9105.89
32768                9668.44
65536               11928.77
131072              12133.60
262144              12235.58
524288              12291.85
1048576             12318.66
2097152             12331.32
4194304             12338.17
