# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.41
1                       2.41
2                       2.41
4                       2.42
8                       2.42
16                      2.42
32                      2.62
64                      2.91
128                     2.95
256                     3.65
512                     3.74
1024                    4.22
2048                    4.46
4096                    5.47
8192                    6.28
16384                   7.16
32768                   9.29
65536                  12.67
131072                 20.08
262144                 30.07
524288                 51.17
1048576                93.99
2097152               179.10
4194304               348.87
