# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.39
1                       2.39
2                       2.39
4                       2.39
8                       2.39
16                      2.40
32                      2.59
64                      2.89
128                     2.91
256                     3.64
512                     3.75
1024                    4.23
2048                    4.40
4096                    5.47
8192                    6.07
16384                   7.11
32768                   9.17
65536                  12.47
131072                 19.55
262144                 31.25
524288                 52.52
1048576                94.84
2097152               180.11
4194304               349.44
