# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.68
4                       9.36
8                      18.72
16                     37.33
32                     74.50
64                    143.79
128                   286.52
256                   549.05
512                  1085.87
1024                 2085.01
2048                 4219.32
4096                 6104.65
8192                 8730.74
16384                9115.62
32768                9648.18
65536               11927.69
131072              12132.30
262144              12238.39
524288              12291.46
1048576             12318.55
2097152             12331.42
4194304             12338.12
