# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.88
2                       3.78
4                       7.55
8                      15.12
16                     30.27
32                     60.28
64                    118.83
128                   236.71
256                   446.34
512                   882.18
1024                 1758.60
2048                 3736.77
4096                 5763.50
8192                 8418.84
16384                9160.70
32768                9665.93
65536               11945.29
131072              12125.58
262144              12231.55
524288              12206.59
1048576             12316.40
2097152             12330.28
4194304             12338.11
