# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.86
2                       3.73
4                       7.45
8                      14.93
16                     29.85
32                     59.60
64                    117.62
128                   233.37
256                   443.32
512                   876.74
1024                 1698.86
2048                 3751.40
4096                 5827.34
8192                 8703.58
16384                8518.18
32768                9692.17
65536               11939.23
131072              12122.60
262144              12231.35
524288              12207.39
1048576             12316.73
2097152             12330.93
4194304             12338.05
