# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.92
1                       1.92
2                       1.92
4                       1.93
8                       1.93
16                      1.93
32                      2.15
64                      2.34
128                     2.37
256                     3.04
512                     3.07
1024                    3.61
2048                    3.75
4096                    4.47
8192                    4.86
16384                   5.94
32768                   8.56
65536                  12.01
131072                 19.46
262144                 28.47
524288                 49.88
1048576                93.01
2097152               177.91
4194304               347.79
