# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.85
4                       9.69
8                      19.41
16                     38.75
32                     77.36
64                    149.65
128                   297.39
256                   568.48
512                  1121.27
1024                 2145.83
2048                 4298.85
4096                 6282.44
8192                 8928.98
16384                9259.39
32768                9722.13
65536               11999.58
131072              12170.53
262144              12255.10
524288              12300.28
1048576             12322.98
2097152             12333.96
4194304             12339.60
