# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.40
1                       2.40
2                       2.40
4                       2.40
8                       2.40
16                      2.41
32                      2.60
64                      2.90
128                     2.93
256                     3.65
512                     3.70
1024                    4.23
2048                    4.42
4096                    5.45
8192                    6.20
16384                   7.11
32768                   9.22
65536                  12.53
131072                 19.79
262144                 30.63
524288                 51.97
1048576                94.56
2097152               179.75
4194304               349.38
