# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.40
1                       2.40
2                       2.40
4                       2.42
8                       2.40
16                      2.41
32                      2.60
64                      2.89
128                     2.91
256                     3.64
512                     3.75
1024                    4.23
2048                    4.41
4096                    5.47
8192                    6.10
16384                   7.04
32768                   9.18
65536                  12.56
131072                 19.64
262144                 31.29
524288                 52.51
1048576                94.83
2097152               180.17
4194304               349.83
