# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.67
4                       9.34
8                      18.63
16                     37.15
32                     74.41
64                    144.05
128                   286.68
256                   545.42
512                  1084.02
1024                 2052.48
2048                 4237.10
4096                 6053.92
8192                 8627.28
16384                9087.63
32768                9483.65
65536               11911.43
131072              12110.38
262144              12224.06
524288              12283.43
1048576             12314.62
2097152             12330.34
4194304             12337.72
