# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.67
4                       9.32
8                      18.68
16                     37.28
32                     74.25
64                    144.18
128                   286.81
256                   547.37
512                  1079.76
1024                 2093.73
2048                 4150.46
4096                 5979.19
8192                 8619.55
16384                9005.45
32768                9553.00
65536               11915.66
131072              12107.75
262144              12220.29
524288              12282.06
1048576             12313.41
2097152             12329.35
4194304             12337.53
