# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.87
4                       9.71
8                      19.45
16                     38.94
32                     77.65
64                    149.94
128                   298.52
256                   568.39
512                  1119.86
1024                 2151.68
2048                 4353.67
4096                 6239.63
8192                 8915.61
16384                9229.09
32768                9705.02
65536               12001.01
131072              12142.51
262144              12242.34
524288              12293.76
1048576             12319.28
2097152             12331.99
4194304             12339.40
