# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.47
1                       2.47
2                       2.47
4                       2.47
8                       2.47
16                      2.48
32                      2.71
64                      2.89
128                     2.92
256                     3.57
512                     3.65
1024                    4.14
2048                    4.30
4096                    5.24
8192                    5.76
16384                   6.75
32768                   9.29
65536                  12.81
131072                 20.20
262144                 29.57
524288                 50.90
1048576                93.96
2097152               179.05
4194304               348.94
