# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.86
1                       1.86
2                       1.86
4                       1.86
8                       1.86
16                      1.87
32                      2.05
64                      2.34
128                     2.38
256                     3.10
512                     3.14
1024                    3.66
2048                    3.88
4096                    4.66
8192                    5.26
16384                   6.23
32768                   8.58
65536                  11.90
131072                 19.32
262144                 28.87
524288                 50.13
1048576                92.99
2097152               177.86
4194304               347.69
