# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.41
1                       2.41
2                       2.41
4                       2.42
8                       2.42
16                      2.43
32                      2.62
64                      2.90
128                     2.92
256                     3.65
512                     3.69
1024                    4.25
2048                    4.42
4096                    5.47
8192                    6.08
16384                   7.06
32768                   9.20
65536                  12.57
131072                 19.76
262144                 30.54
524288                 51.64
1048576                94.28
2097152               179.41
4194304               349.16
