# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.68
4                       9.36
8                      18.69
16                     37.37
32                     74.61
64                    144.49
128                   286.81
256                   547.29
512                  1082.15
1024                 2118.91
2048                 4171.98
4096                 6019.82
8192                 8685.23
16384                9043.93
32768                9578.90
65536               11916.88
131072              12105.52
262144              12221.00
524288              12282.08
1048576             12313.58
2097152             12329.90
4194304             12337.72
