# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.66
4                       9.33
8                      18.67
16                     37.27
32                     74.44
64                    144.10
128                   286.59
256                   549.13
512                  1084.65
1024                 2087.68
2048                 4156.26
4096                 6135.98
8192                 8778.47
16384                9145.00
32768                9731.02
65536               11930.32
131072              12133.78
262144              12238.41
524288              12292.02
1048576             12318.78
2097152             12331.36
4194304             12338.03
